dataset_id,dataset_name,provider_or_platform,domain,granularity,coverage,access_level,access_note,keywords,description
1,CFPB Consumer Complaints,Consumer Financial Protection Bureau,Consumer Finance,Individual complaint,US national 2011-present,Public,Updated weekly; no authentication required,"consumer,complaints,financial,banking,credit,mortgage,loans",Consumer complaint data including product type issue company response and narrative
2,FRED Economic Data,Federal Reserve Bank of St. Louis,Economics,Time series (daily/monthly),US national 1950s-present,Public,Free API key required,"economics,gdp,unemployment,inflation,interest rates,monetary policy",Economic time series data including GDP unemployment inflation and interest rates
3,Census American Community Survey,US Census Bureau,Demographics,Census tract / County,US national annual,Public,Available via API or bulk download,"demographics,population,income,education,housing,employment",Demographic and socioeconomic data at various geographic levels
4,BLS Employment Statistics,Bureau of Labor Statistics,Labor Economics,Monthly / Industry,US national 1940s-present,Public,Free access; API available,"employment,unemployment,wages,labor,jobs,occupations",Employment unemployment and wage data by industry and occupation
5,CMS Medicare Claims,Centers for Medicare & Medicaid Services,Healthcare,Patient claim,US Medicare beneficiaries,Restricted,Requires DUA and IRB approval,"healthcare,medicare,claims,medical,costs,utilization",Medicare claims data with diagnosis procedure and cost information
6,Compustat North America,S&P Capital IQ via WRDS,Corporate Finance,Firm-quarter,US & Canada public companies,Subscription,WRDS access required (university or paid),"financial statements,earnings,assets,liabilities,equity,accounting",Financial statement data for public companies including balance sheet income statement
7,CRSP Stock Database,Center for Research in Security Prices via WRDS,Finance,Daily stock,US public equities 1925-present,Subscription,WRDS access required,"stock prices,returns,trading volume,market data,equity",Daily stock prices returns and trading volume for US equities
8,Nielsen Consumer Panel,Nielsen via Kilts Center,Marketing,Household purchase,US households,Restricted,Requires application to Kilts Center,"consumer behavior,purchases,retail,products,brands,shopping",Household-level purchase data including products prices and stores
9,HMDA Mortgage Data,Federal Financial Institutions Examination Council,Housing Finance,Loan application,US national 2007-present,Public,Bulk download or API,"mortgages,home loans,lending,housing,discrimination,redlining",Mortgage application and origination data with applicant demographics
10,FBI Crime Data,Federal Bureau of Investigation,Crime,Agency-month,US law enforcement agencies,Public,Annual reports and downloadable files,"crime,arrests,offenses,violent crime,property crime,police",Crime statistics reported by law enforcement agencies including offense counts
11,Medicare Provider Utilization,CMS,Healthcare,Provider-year,US Medicare providers,Public,Available for download,"healthcare providers,medicare,procedures,payments,physicians,hospitals",Service utilization and payment data for Medicare providers
12,SEC EDGAR Filings,Securities and Exchange Commission,Corporate Disclosure,Filing,US public companies 1994-present,Public,Free bulk download or API,"sec filings,10-K,10-Q,financial disclosures,earnings,corporate",Corporate filings including 10-K 10-Q and 8-K reports
13,World Bank Development Indicators,World Bank,International Development,Country-year,Global 1960-present,Public,Free API and bulk download,"development,gdp,poverty,health,education,global,international",Development indicators for countries including GDP poverty health education
14,Yelp Business Reviews,Yelp Academic Dataset,Consumer Reviews,Business review,Select US cities,Public,Academic dataset program,"reviews,ratings,restaurants,businesses,consumer opinions,sentiment",Business reviews ratings and user data for restaurants and local businesses
15,Twitter Academic API,Twitter,Social Media,Tweet,Global real-time,Restricted,Requires academic research approval,"social media,tweets,sentiment,public opinion,communication",Historical and real-time Twitter data for academic research
16,IPUMS Census Microdata,IPUMS USA,Demographics,Individual,US decennial & ACS,Public,Free registration required,"census,demographics,microdata,population,housing,individual-level",Individual-level census and survey microdata with harmonized variables
17,Opportunity Insights Data,Opportunity Insights,Social Mobility,County / Commuting zone,US various years,Public,Free download,"mobility,income,education,neighborhoods,inequality,opportunity",Social mobility and inequality data linked to census and tax records
18,OpenTable Reservations,OpenTable via SafeGraph,Restaurant Industry,Restaurant-day,Select US cities 2016-present,Restricted,Contact vendor for access,"restaurants,reservations,dining,covid impact,consumer activity",Daily restaurant reservation and seating data
19,SafeGraph Foot Traffic,SafeGraph,Retail & Mobility,POI-day,US points of interest,Subscription,Free for academics; otherwise paid,"foot traffic,mobility,retail,stores,visits,location data",Foot traffic patterns to retail and commercial locations
20,Zillow Housing Data,Zillow,Real Estate,ZIP/Metro-month,US housing markets 2008-present,Public,Free download,"housing,home prices,rent,real estate,zillow,property values",Home values rent estimates and housing market statistics
21,Google Trends,Google,Search Behavior,Weekly/daily,Global 2004-present,Public,No authentication for web; API limited,"search trends,google,internet,public interest,keywords",Search volume trends for keywords indicating public interest
22,COVID-19 Data Repository,Johns Hopkins University,Public Health,County-day,Global 2020-present,Public,Free download via GitHub,"covid-19,coronavirus,pandemic,cases,deaths,health",Daily COVID-19 cases deaths and recoveries by location
23,SNAP Retailer Database,USDA Food and Nutrition Service,Food Assistance,Retailer,US national,Public,Available via FOIA or public data,"food stamps,SNAP,retailers,food access,nutrition assistance",Retailers authorized to accept SNAP benefits
24,Eviction Lab Data,Princeton University,Housing,County-year,US 2000-2016,Public,Free download,"evictions,housing,rental,poverty,displacement",Eviction filing and judgment data across US counties
25,Campaign Finance Data,Federal Election Commission,Political Finance,Contribution,US federal elections 1980-present,Public,Bulk download and API,"campaign finance,donations,political,elections,pac,contributions",Individual and organizational political contributions to federal candidates
